TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,54,18:40,13.13,-1.01,37.87,48.92,233.3,1.08,1.08,1.08,-0.24,1529.18
1,54,18:50,13.13,0.62,37.84,48.73,234.6,1.08,1.08,1.08,-0.21,1513.84
1,54,19:00,13.0,2.49,37.79,48.76,234.1,1.07,1.07,1.07,-0.17,1528.79
1,54,19:10,9.92,-2.55,37.61,48.77,239.89,1.0,1.0,1.0,-0.23,1293.64
1,54,19:20,9.76,0.87,37.44,49.18,236.65,1.02,1.02,1.02,-0.22,1244.85
1,54,19:30,10.88,-0.01,37.44,49.45,239.97,1.03,1.03,1.03,-0.19,1371.65
1,54,19:40,10.55,1.08,37.32,49.48,246.32,1.03,1.03,1.03,-0.28,1373.95
1,54,19:50,10.78,-1.67,37.21,49.28,247.49,1.03,1.03,1.03,-0.23,1385.85
1,54,20:00,9.93,0.82,36.99,49.22,255.76,1.01,1.01,1.01,-0.22,1296.29
1,54,20:10,9.85,0.45,36.79,49.11,253.7,1.01,1.01,1.01,-0.2,1201.87
1,54,20:20,8.27,-3.07,36.54,49.02,256.34,1.0,1.0,1.0,-0.23,984.61
1,54,20:30,8.62,-1.46,36.47,49.11,259.69,1.0,1.0,1.0,-0.28,1060.83
1,54,20:40,8.39,4.43,36.3,49.07,257.89,1.0,1.0,1.0,-0.23,999.9
1,54,20:50,9.04,1.91,36.13,48.98,267.64,1.0,1.0,1.0,-0.28,1141.0
1,54,21:00,7.2,0.48,35.95,48.66,271.36,1.0,1.0,1.0,-0.16,749.51
1,54,21:10,6.4,-0.92,35.69,48.52,267.73,1.0,1.0,1.0,-0.23,566.5
1,54,21:20,6.71,0.34,35.52,48.38,266.56,1.0,1.0,1.0,-0.24,624.01
1,54,21:30,5.89,-1.38,35.22,48.01,269.92,1.0,1.0,1.0,-0.24,464.96
1,54,21:40,5.87,0.96,34.97,47.47,264.22,0.99,0.99,0.99,-0.23,453.31
1,54,21:50,5.66,2.17,34.68,47.2,268.57,0.99,0.99,0.99,-0.23,424.1
1,54,22:00,5.47,0.63,34.41,46.55,275.15,0.99,0.99,0.99,-0.23,388.48
1,54,22:10,5.19,-1.26,34.06,45.99,266.56,0.99,0.99,0.99,-0.24,340.66
1,54,22:20,5.71,2.71,33.84,45.55,265.51,0.99,0.99,0.99,-0.27,413.57
1,54,22:30,4.11,0.48,33.59,45.0,269.82,0.99,0.99,0.99,-0.24,220.87
1,54,22:40,2.64,1.07,33.32,44.47,267.77,0.99,0.99,0.99,-0.26,82.54
1,54,22:50,1.72,2.98,33.07,44.65,261.17,1.0,1.0,1.0,-0.23,18.87
1,55,01:10,3.24,9.4,32.09,44.48,286.17,1.47,1.47,1.47,-0.06,31.15
1,55,01:20,2.92,-0.08,31.97,43.27,294.66,0.99,0.99,0.99,-0.25,90.33
1,55,01:30,2.35,1.38,31.31,41.7,294.66,0.99,0.99,0.99,-0.22,68.72
1,55,01:40,3.12,7.25,30.93,41.17,304.45,0.99,0.99,0.99,-0.24,138.53
1,55,01:50,4.3,8.73,30.17,40.31,343.48,0.99,0.99,0.99,-0.23,208.77
1,55,02:00,4.1,-1.81,29.09,39.39,383.86,0.99,0.99,0.99,-0.22,161.07
1,55,02:10,3.35,-3.11,28.75,38.8,381.79,0.99,0.99,0.99,-0.25,111.94
1,55,02:20,4.14,2.6,28.68,38.39,381.79,0.99,0.99,0.99,-0.24,178.88
1,55,02:30,4.17,1.8,28.43,37.91,386.7,0.99,0.99,0.99,-0.23,196.05
1,55,02:40,3.93,-2.93,28.29,37.69,374.31,0.99,0.99,0.99,-0.26,179.06
1,55,02:50,3.51,3.97,28.29,37.43,371.31,0.99,0.99,0.99,-0.23,142.59
1,55,03:00,4.32,-3.9,28.22,37.39,364.64,0.99,0.99,0.99,-0.25,222.3
1,55,03:10,5.02,5.94,28.09,37.24,363.42,0.99,0.99,0.99,-0.25,311.95
1,55,03:20,6.19,1.96,27.82,37.26,376.68,1.0,0.99,0.99,-0.25,477.2
1,55,03:30,5.78,1.02,27.3,37.06,379.17,0.99,0.99,0.99,-0.27,395.5
1,55,03:40,4.77,-1.59,26.65,36.39,385.43,0.99,0.99,0.99,-0.24,261.03
1,55,03:50,4.48,2.96,26.18,35.74,381.08,0.99,0.99,0.99,-0.24,237.96
1,55,04:00,4.31,-1.52,25.93,35.44,386.54,0.99,0.99,0.99,-0.25,212.68
1,55,04:10,6.06,2.89,26.0,35.58,386.54,0.99,0.99,0.99,-0.28,456.22
1,55,04:20,7.58,1.5,26.25,35.7,392.69,1.0,1.0,1.0,-0.23,781.98
1,55,04:30,7.71,1.74,26.51,35.87,394.76,1.0,1.0,1.0,-0.2,808.35
1,55,04:40,6.65,-2.68,26.6,36.24,395.96,1.0,1.0,1.0,-0.25,555.91
1,55,04:50,6.5,0.66,26.6,36.6,386.8,1.0,1.0,1.0,-0.26,519.96
1,55,05:00,6.4,-3.43,26.49,36.7,386.57,1.0,1.0,1.0,-0.26,478.94
1,55,05:10,6.9,-3.6,26.56,36.74,386.41,1.0,1.0,1.0,-0.26,557.15
1,55,05:20,7.4,1.25,26.6,36.73,379.02,1.0,1.0,1.0,-0.25,693.68
1,55,05:30,7.15,1.94,26.75,36.73,383.75,1.0,1.0,1.0,-0.26,628.33
1,55,05:40,6.32,2.23,26.87,36.98,390.31,1.0,1.0,1.0,-0.27,520.53
1,55,05:50,5.88,1.77,26.93,37.09,398.31,1.0,1.0,1.0,-0.27,426.63
1,55,06:00,6.04,-1.36,26.9,37.09,401.53,0.99,0.99,0.99,-0.24,444.66
1,55,06:10,6.02,0.08,26.84,37.09,394.29,0.99,0.99,0.99,-0.26,464.68
1,55,06:20,6.62,-3.8,26.56,37.01,394.27,1.0,1.0,1.0,-0.25,457.18
1,55,06:30,6.02,-4.73,26.28,36.71,391.14,1.0,1.0,1.0,-0.25,404.08
1,55,06:40,5.89,-0.18,26.05,36.38,381.78,0.99,0.99,0.99,-0.26,418.48
1,55,06:50,5.57,-0.09,25.9,36.15,382.04,0.99,0.99,0.99,-0.26,380.55
1,55,07:00,5.92,2.35,25.9,35.99,380.17,0.99,0.99,0.99,-0.25,429.78
1,55,07:10,6.93,-0.5,25.94,35.99,386.8,1.0,1.0,1.0,-0.26,596.89
1,55,07:20,7.55,-2.05,26.0,35.99,386.8,1.0,1.0,1.0,-0.24,729.69
1,55,07:30,8.33,-3.12,26.04,36.07,386.8,1.0,1.0,1.0,-0.24,864.35
1,55,07:40,8.38,-3.71,26.22,36.28,386.8,1.0,1.0,1.0,-0.18,861.61
1,55,07:50,6.54,-3.62,26.2,36.59,380.38,1.0,1.0,1.0,-0.24,560.31
1,55,08:00,6.0,1.83,26.24,36.7,379.21,1.0,1.0,1.0,-0.26,473.65
1,55,08:10,6.02,3.27,26.29,36.71,382.15,0.99,0.99,0.99,-0.26,470.95
1,55,08:20,5.32,1.88,26.35,36.58,388.13,0.99,0.99,0.99,-0.25,372.43
1,55,08:30,5.02,1.37,26.59,36.29,394.43,0.99,0.99,0.99,-0.25,323.01
1,55,08:40,5.15,-1.1,26.85,36.51,401.84,0.99,0.99,0.99,-0.27,334.48
1,55,08:50,5.09,0.22,27.11,36.66,395.14,0.99,0.99,0.99,-0.26,341.12
1,55,09:00,5.18,0.27,27.34,36.68,391.58,0.99,0.99,0.99,-0.25,345.0
1,55,09:10,5.36,1.41,27.6,36.8,386.8,0.99,0.99,0.99,-0.25,367.89
1,55,09:20,5.93,-0.04,27.71,37.07,393.39,0.99,0.99,0.99,-0.25,451.37
1,55,09:30,5.35,2.24,27.87,37.05,398.77,0.99,0.99,0.99,-0.26,381.8
1,55,09:40,5.62,0.81,28.13,37.17,395.38,0.99,0.99,0.99,-0.29,419.9
1,55,09:50,6.29,1.33,28.45,37.56,406.72,1.0,1.0,1.0,-0.25,519.94
1,55,10:00,5.89,0.67,28.84,37.97,410.55,0.99,0.99,0.99,-0.26,463.7
1,55,10:10,6.17,-0.62,29.23,38.27,408.26,1.0,1.0,1.0,-0.24,492.65
1,55,10:20,6.01,-0.24,29.5,38.56,410.69,0.99,0.99,0.99,-0.24,470.32
1,55,10:30,5.14,1.26,29.83,38.7,404.44,0.99,0.99,0.99,-0.24,341.25
1,55,10:40,4.6,-0.29,30.23,38.88,404.1,0.99,0.99,0.99,-0.27,276.7
1,55,10:50,5.14,2.93,30.53,39.06,410.13,0.99,0.99,0.99,-0.28,335.37
1,55,11:00,5.04,-0.75,30.71,39.27,420.27,0.99,0.99,0.99,-0.27,352.54
1,55,11:10,4.98,0.64,30.94,39.41,422.52,0.99,0.99,0.99,-0.26,323.27
1,55,11:20,4.57,-1.88,31.08,39.49,426.55,0.99,0.99,0.99,-0.27,270.63
1,55,11:30,4.84,-2.36,31.09,39.57,417.16,0.99,0.99,0.99,-0.24,311.13
1,55,11:40,4.03,1.22,31.14,39.48,416.94,0.99,0.99,0.99,-0.24,199.02
1,55,11:50,4.96,1.09,31.4,39.8,421.84,0.99,0.99,0.99,-0.27,301.48
1,55,12:00,4.99,-0.7,31.61,39.99,413.8,0.99,0.99,0.99,-0.26,323.32
1,55,12:10,4.7,-0.44,31.95,40.09,414.25,0.99,0.99,0.99,-0.24,276.98
1,55,12:20,4.77,2.65,32.24,40.33,415.35,0.99,0.99,0.99,-0.25,298.0
1,55,12:30,3.56,-0.52,32.49,40.63,416.0,0.99,0.99,0.99,-0.24,161.31
1,55,12:40,4.21,0.35,32.81,40.83,415.98,0.99,0.99,0.99,-0.23,221.89
1,55,12:50,2.89,-2.2,33.1,41.1,402.71,0.99,0.99,0.99,-0.25,105.77
1,55,13:00,2.64,-0.44,33.48,41.62,399.41,0.99,0.99,0.99,-0.25,53.28
1,55,13:10,3.03,0.54,33.94,42.29,385.19,0.99,0.99,0.99,-0.23,112.28
1,55,13:20,1.57,8.09,34.35,42.62,406.59,1.07,1.07,1.07,-0.23,17.41
1,55,14:00,3.4,7.89,36.43,46.09,363.41,1.53,1.53,1.53,-0.08,2.65
1,55,14:10,2.42,-1.09,36.61,45.5,349.87,0.99,0.99,0.99,-0.23,64.8
1,55,14:30,0.92,12.67,36.56,45.24,358.68,1.9,1.9,1.9,0.0,0.0
1,55,14:40,0.75,-46.39,37.05,46.71,358.68,1.9,1.9,1.9,0.0,0.0
1,55,14:50,0.58,-25.13,37.51,47.38,358.68,1.9,1.9,1.9,0.0,0.0
1,55,15:00,1.97,-2.28,37.9,47.74,358.68,1.9,1.9,1.9,0.0,0.0
1,55,15:10,1.31,104.67,38.18,47.81,358.68,1.9,1.9,1.9,0.0,0.0
1,55,15:20,1.3,2.58,38.33,48.03,358.68,1.9,1.9,1.9,0.0,0.0
1,55,15:30,1.39,56.35,38.72,48.15,358.68,1.9,1.9,1.9,0.0,0.0
1,55,15:40,2.31,57.12,39.02,48.33,358.68,1.9,1.9,1.9,0.0,0.0
1,55,15:50,1.5,43.0,39.17,48.44,358.68,1.9,1.9,1.9,0.0,0.0
1,55,16:00,1.96,-17.55,39.16,48.74,358.68,1.9,1.9,1.9,0.0,0.0
1,55,16:10,3.51,-17.81,39.33,48.65,302.35,1.45,1.45,1.45,0.08,28.24
1,55,16:20,1.33,-4.61,39.44,47.8,306.55,1.54,1.54,1.54,-0.26,0.79
1,55,16:30,1.86,19.31,39.43,48.34,309.57,1.9,1.9,1.9,-0.3,0.0
1,55,16:40,1.69,27.17,39.63,49.02,309.57,1.9,1.9,1.9,-0.3,0.0
1,55,17:10,2.11,-59.91,39.69,49.24,163.52,1.9,1.9,1.9,-0.3,0.0
1,55,17:30,2.44,-4.61,39.56,48.53,163.52,1.9,1.9,1.9,-0.3,0.0
1,55,17:50,0.79,-4.74,39.76,48.52,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,18:00,0.93,-25.9,39.82,48.62,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,18:10,1.82,50.05,40.01,48.58,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,18:20,1.52,48.44,40.05,48.39,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,18:30,1.39,41.06,39.9,48.31,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,18:40,1.17,5.09,39.83,48.29,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,18:50,1.13,-52.28,39.78,48.14,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,19:00,1.57,-83.15,39.59,47.9,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,19:10,1.99,-80.59,39.47,47.7,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,19:20,1.17,-28.56,39.31,47.5,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,19:30,1.39,37.15,39.28,47.43,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,19:40,0.59,43.17,39.14,47.21,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,19:50,0.56,62.1,38.91,47.15,238.96,1.9,1.9,1.9,-0.3,0.0
1,55,20:10,4.23,-32.45,38.7,46.68,134.65,1.57,1.57,1.57,-0.09,68.11
1,55,20:20,4.33,0.35,38.28,45.24,105.98,0.99,0.99,0.99,-0.24,218.32
1,55,20:30,3.41,-0.23,37.21,43.74,103.1,0.99,0.99,0.99,-0.22,135.33
1,55,20:40,3.44,4.83,36.84,43.15,111.63,0.99,0.99,0.99,-0.27,133.41
1,55,20:50,4.0,-3.56,36.53,42.94,113.21,0.99,0.99,0.99,-0.23,173.91
1,55,21:00,3.98,-3.45,36.23,42.84,100.99,0.99,0.99,0.99,-0.26,164.15
1,55,21:10,3.2,2.83,35.93,42.58,100.2,0.99,0.99,0.99,-0.22,122.72
1,55,21:20,3.01,4.02,35.73,42.49,106.02,0.99,0.99,0.99,-0.25,105.67
1,55,21:30,2.62,7.93,35.63,42.53,108.21,0.99,0.99,0.99,-0.24,77.09
1,55,21:40,2.41,4.1,35.53,42.71,118.6,0.99,0.99,0.99,-0.24,55.96
1,55,21:50,2.06,8.15,35.39,42.88,120.23,0.99,0.99,0.99,-0.26,38.51
1,55,22:00,1.09,2.83,35.27,43.0,131.15,1.31,1.31,1.31,-0.26,0.76
1,55,23:40,6.13,-4.78,34.51,43.62,29.3,1.18,1.18,1.18,-0.07,310.44
1,55,23:50,7.17,3.99,33.4,41.92,31.44,1.0,1.0,1.0,-0.28,703.05
1,56,00:00,8.3,-2.08,33.13,41.36,34.8,1.0,1.0,1.0,-0.23,988.85
1,56,00:10,7.56,-0.5,33.08,41.37,42.07,1.0,1.0,1.0,-0.22,731.57
1,56,00:20,8.3,-1.05,33.24,41.7,34.74,1.0,1.0,1.0,-0.29,930.03
1,56,00:30,9.22,-1.27,32.96,41.72,30.94,1.0,1.0,1.0,-0.24,1184.99
1,56,00:40,9.18,-2.24,32.73,41.78,25.33,1.0,1.0,1.0,-0.23,1107.45
1,56,00:50,9.61,-2.54,32.7,41.98,24.95,1.0,1.0,1.0,-0.23,1207.03
1,56,01:00,9.31,-4.36,32.7,42.11,19.67,1.0,1.0,1.0,-0.26,1166.05
1,56,01:10,9.67,0.18,32.62,42.34,17.35,1.0,1.0,1.0,-0.29,1272.18
1,56,01:20,9.49,-3.82,32.47,42.44,17.31,1.0,1.0,1.0,-0.33,1264.05
1,56,01:30,9.63,-4.02,32.3,42.56,17.03,1.0,1.0,1.0,-0.27,1277.97
1,56,01:40,9.73,1.45,32.38,42.81,9.63,1.0,1.0,1.0,-0.24,1300.26
1,56,01:50,9.53,-0.86,32.38,43.0,9.63,1.0,1.0,1.0,-0.28,1269.86
1,56,02:00,10.1,-4.29,32.29,43.13,9.63,1.0,1.0,1.0,-0.32,1365.61
1,56,02:10,10.39,-0.21,32.29,43.23,9.63,1.0,1.0,1.0,-0.25,1423.32
1,56,02:20,10.47,-1.84,32.22,43.26,9.63,1.0,1.0,1.0,-0.25,1412.49
1,56,02:30,10.53,-0.13,32.01,43.28,9.63,1.0,1.0,1.0,-0.25,1426.97
1,56,02:40,10.63,-2.34,31.88,43.29,9.63,1.0,1.0,1.0,-0.17,1447.62
1,56,02:50,11.01,-4.02,31.52,43.19,9.63,1.0,1.0,1.0,-0.23,1451.19
1,56,03:00,10.51,-4.26,31.16,42.93,9.63,1.0,1.0,1.0,-0.34,1378.28
1,56,03:10,10.62,-2.76,30.83,42.99,9.63,1.0,1.0,1.0,-0.32,1404.0
1,56,03:20,10.95,1.66,30.99,42.9,9.63,1.0,1.0,1.0,-0.17,1473.97
1,56,03:30,10.89,3.08,31.09,42.83,12.93,1.0,1.0,1.0,-0.18,1453.05
1,56,03:40,10.77,-3.4,31.09,42.8,17.22,1.0,1.0,1.0,-0.27,1442.48
1,56,03:50,10.23,-4.59,30.93,42.98,17.22,1.0,1.0,1.0,-0.23,1329.65
1,56,04:00,9.68,-4.2,30.64,43.1,12.96,1.0,1.0,1.0,-0.31,1200.57
1,56,04:10,9.58,-4.62,30.39,43.09,8.2,1.0,1.0,1.0,-0.24,1237.39
1,56,04:20,9.54,0.92,30.23,43.1,2.1,1.0,1.0,1.0,-0.23,1198.33
1,56,04:30,9.52,1.37,30.27,43.02,2.1,1.0,1.0,1.0,-0.25,1168.57
1,56,04:40,9.5,1.62,30.34,42.99,2.1,1.0,1.0,1.0,-0.29,1149.67
1,56,04:50,9.32,2.74,30.34,42.96,2.1,1.0,1.0,1.0,-0.26,1117.27
1,56,05:00,8.46,1.48,30.34,42.95,8.9,1.0,1.0,1.0,-0.25,950.78
1,56,05:10,9.11,1.91,30.29,42.96,10.6,1.0,1.0,1.0,-0.21,1139.81
1,56,05:20,8.91,1.44,30.38,42.82,21.68,1.0,1.0,1.0,-0.3,1150.59
1,56,05:30,9.08,-2.44,30.29,42.7,25.12,1.0,1.0,1.0,-0.26,1168.17
